Student_ID,First_Name,Last_Name,Gender,Attendance (%),Internal_marks,Final_Score,Assignments_Avg,Quizzes_score,Previous_gpa,Semester
S1043,Liam,Williams,Male,79.62,60.28,63.22,66.63,62.24,3.82,IV/I
S1044,Maria,Smith,Male,87.94,82.04,92.54,77.85,82.71,2.52,III/II
S1045,Maria,Brown,Male,59.54,90.62,60.41,52.32,64.5,3.33,IV/I
S1046,Liam,Smith,Male,78.41,75.69,51.82,95.72,80.34,2.62,III/II
S1047,Omar,Jones,Female,90.71,87.07,59.78,54.93,75.22,3.04,I/II
S1048,Emma,Smith,Male,88.41,84.95,76.56,63.96,60.86,3.09,II/II
S1049,Emma,Jones,Male,90.15,74.3,62.03,55.46,63.33,2.37,III/II
S1050,Omar,Jones,Female,93.97,58.73,80.37,62.83,58.53,3.94,II/II
S1051,Emma,Jones,Female,96.88,84.75,54.22,91.88,52.83,3.55,IV/I
S1052,John,Brown,Female,70.28,52.41,82.06,80.76,80.96,3.88,III/II
S1053,Maria,Smith,Female,78.44,86.77,60.85,61.37,83.64,3.79,I/II
S1054,Omar,Smith,Male,89.53,88.27,67.35,93.59,58.3,3.2,I/I
S1055,Maria,Brown,Female,84.86,89.33,73.46,90.04,80.77,3.84,I/II
S1056,Liam,Williams,Female,99.78,68.37,81.17,87.68,99.1,2.18,I/II
S1057,Ali,Johnson,Male,50.68,51.55,54.32,92.38,53.72,2.39,I/I
S1058,John,Smith,Male,67.76,45.98,90.16,80.98,74.52,2.09,I/I
S1059,Ahmed,Johnson,Male,64.05,84.6,83.31,75.07,86.65,2.65,II/I
S1060,John,Davis,Female,63.12,93.18,54.05,68.7,52.3,2.78,III/II
S1061,Omar,Davis,Male,61.13,79.05,98.5,61.19,88.91,2.54,IV/I
S1062,Ahmed,Brown,Female,85.46,48.65,79.89,77.87,98.98,3.66,II/I
S1063,Ali,Davis,Male,54.24,96.09,67.15,94.47,54.42,2.71,I/I
S1064,Omar,Davis,Male,87.08,99.35,49.45,79.7,91.11,2.56,II/II
S1065,Sara,Williams,Female,84.67,66.0,71.99,95.98,68.93,3.09,IV/I
S1066,Maria,Williams,Male,62.54,75.69,49.89,67.85,57.21,2.28,II/II
S1067,Ali,Williams,Male,62.64,86.63,65.77,84.76,74.66,3.6,I/II
S1068,Maria,Davis,Male,81.44,84.18,64.52,82.43,53.58,2.15,III/I
S1069,Emma,Brown,Male,88.11,98.07,83.2,83.52,76.11,3.97,I/II
S1070,Sara,Jones,Male,93.82,46.89,51.54,82.25,50.97,3.54,I/II
S1071,Sara,Jones,Female,92.61,74.84,89.31,61.08,86.43,2.4,III/I
S1072,Ali,Johnson,Female,98.24,81.52,59.57,57.18,74.4,2.01,III/II
S1073,Sara,Jones,Male,79.07,93.41,66.64,98.93,72.95,3.63,I/I
S1074,Ahmed,Jones,Female,95.43,92.45,86.34,52.26,59.81,3.41,II/II
S1075,Sara,Williams,Female,90.43,98.68,77.52,73.39,68.06,3.46,I/II
S1076,Maria,Williams,Female,94.73,70.72,58.48,71.25,59.09,3.54,III/I
S1077,Maria,Davis,Male,50.58,89.85,63.17,68.0,86.77,2.15,II/I
S1078,Omar,Johnson,Male,98.3,65.64,58.35,89.1,59.95,2.72,I/II
S1079,Maria,Smith,Male,73.68,65.34,75.69,87.27,80.84,2.23,II/II
S1080,Omar,Johnson,Female,89.91,55.2,59.96,95.26,63.98,3.73,I/I
S1081,Maria,Johnson,Female,56.36,89.09,83.54,69.77,82.85,3.25,I/II
S1082,Ahmed,Brown,Male,69.8,99.15,74.79,78.21,77.02,2.66,I/II
S1083,Liam,Davis,Male,63.57,55.38,48.74,94.62,71.17,2.13,III/II
S1084,Omar,Brown,Female,64.58,43.37,58.62,99.69,83.65,2.62,IV/II
S1085,John,Johnson,Female,56.16,88.93,53.29,98.46,70.79,2.65,III/I
S1086,Emma,Johnson,Male,90.29,77.21,63.42,85.89,91.07,3.46,II/I
S1087,Ali,Johnson,Female,50.46,97.58,70.96,57.16,86.48,3.28,II/I
S1088,Maria,Jones,Female,65.63,55.13,70.41,51.16,77.03,3.77,IV/I
S1089,Sara,Brown,Female,58.72,44.26,85.27,91.26,93.85,2.94,I/I
S1090,Liam,Johnson,Female,79.45,69.55,51.35,92.05,91.44,2.24,IV/I
S1091,Maria,Williams,Female,62.71,45.13,96.79,87.32,76.59,3.43,II/II
S1092,Sara,Davis,Female,62.95,55.71,60.57,64.0,53.42,3.52,I/I
S1093,Emma,Davis,Female,74.42,47.56,58.01,81.99,78.3,3.12,I/II
S1094,Emma,Williams,Male,82.63,53.45,81.11,65.81,67.76,3.54,IV/II
S1095,Emma,Davis,Male,56.07,46.37,88.33,72.53,77.01,2.99,I/II
S1096,Sara,Jones,Female,58.78,97.23,62.71,69.12,82.36,3.05,II/I
S1097,Maria,Jones,Female,62.36,56.71,84.81,95.68,82.24,2.86,II/II
S1098,Emma,Smith,Female,98.69,66.63,93.02,61.71,83.68,2.05,III/I
S1099,Ahmed,Smith,Male,69.86,93.92,86.01,78.88,83.96,2.22,II/II
S1100,Omar,Smith,Male,79.95,80.64,42.05,68.05,55.46,2.06,I/II
S1101,Sara,Davis,Female,62.08,77.08,89.64,83.15,59.59,3.27,III/I
S1102,Sara,Jones,Male,74.52,82.33,86.47,78.23,81.53,2.63,II/II
S1103,Maria,Jones,Female,53.71,89.73,80.16,96.2,70.41,3.02,IV/II
S1104,Sara,Jones,Female,51.74,92.66,85.6,55.08,88.14,3.82,IV/II
S1105,Sara,Williams,Female,73.44,78.56,98.77,61.03,56.25,2.5,II/II
S1106,Emma,Jones,Female,69.93,93.4,65.87,88.32,59.58,2.82,III/I
S1107,Maria,Williams,Female,56.84,72.12,44.03,68.44,77.92,3.51,I/II
S1108,Emma,Smith,Female,84.38,56.64,67.65,58.29,75.04,2.46,II/II
S1109,Omar,Smith,Female,99.65,92.8,42.79,75.17,63.32,2.15,III/I
S1110,Liam,Davis,Male,69.78,72.49,57.66,82.61,70.42,2.58,III/II
S1111,Omar,Smith,Female,81.23,94.37,75.21,52.24,51.75,2.32,IV/II
S1112,Liam,Davis,Male,98.15,42.41,58.58,64.58,51.85,3.86,III/II
S1113,Emma,Johnson,Female,91.58,63.85,81.12,90.47,54.75,3.62,I/II
S1114,Omar,Johnson,Female,73.18,96.87,89.32,76.01,78.84,3.27,III/I
S1115,Maria,Brown,Male,86.87,54.98,65.23,51.77,93.19,3.74,III/II
S1116,Ali,Davis,Male,56.41,96.49,94.01,64.1,63.01,3.61,III/I
S1117,Emma,Brown,Female,75.61,97.23,44.79,81.96,51.7,2.37,II/II
S1118,Liam,Brown,Male,63.95,92.93,90.41,59.97,85.43,3.79,I/II
S1119,Ahmed,Johnson,Female,58.06,73.82,89.71,91.37,92.77,3.08,III/II
S1120,Liam,Davis,Female,71.31,78.82,59.32,83.83,56.91,3.61,IV/I
S1121,Ahmed,Johnson,Male,56.55,92.18,57.92,73.57,69.29,3.79,II/II
S1122,Sara,Brown,Male,84.95,86.55,58.31,95.78,57.94,2.64,IV/II
S1123,Omar,Davis,Male,72.81,77.81,88.68,69.59,55.32,2.22,IV/I
S1124,Ahmed,Brown,Male,76.56,98.94,89.9,61.75,82.41,2.46,IV/I
S1125,Liam,Jones,Female,57.32,81.14,59.78,83.07,98.38,2.85,I/I
S1126,Sara,Davis,Male,56.99,98.53,75.56,78.66,83.91,3.64,I/I
S1127,Ali,Davis,Male,79.17,43.44,48.34,66.76,99.24,3.72,I/II
S1128,Maria,Brown,Male,99.25,48.34,68.13,67.18,71.72,2.01,III/II
S1129,Maria,Jones,Male,54.81,67.09,99.93,69.91,94.89,3.02,III/II
S1130,Maria,Williams,Male,64.29,63.09,49.53,64.56,60.25,2.83,III/II
S1131,Ahmed,Johnson,Female,93.47,86.96,96.85,85.51,55.9,2.44,III/I
S1132,Ali,Brown,Female,53.61,49.64,89.46,82.57,85.13,2.24,II/II
S1133,Ahmed,Davis,Male,93.79,98.57,98.33,72.04,68.57,2.68,III/II
S1134,Omar,Johnson,Male,76.21,58.9,50.77,69.89,65.88,3.89,II/II
S1135,Ahmed,Johnson,Female,70.41,65.74,52.81,68.25,83.56,2.65,I/II
S1136,Ali,Johnson,Male,65.48,56.48,41.01,64.17,66.67,3.04,IV/I
S1137,Ali,Williams,Female,64.86,74.76,83.48,54.28,78.63,3.41,III/II
S1138,Omar,Smith,Female,65.29,43.52,78.65,63.41,64.97,2.73,I/II
S1139,Ali,Brown,Male,94.24,48.98,50.68,66.06,89.19,3.94,III/II
S1140,Liam,Smith,Female,86.19,84.75,87.47,77.38,65.62,3.92,I/I
S1141,Ali,Smith,Male,83.49,51.19,57.95,88.69,76.75,2.5,II/I
S1142,Maria,Smith,Male,89.94,54.13,48.1,69.79,51.16,2.99,I/II
S1143,Liam,Johnson,Female,62.86,87.58,65.35,97.24,89.59,2.6,III/II
S1144,Liam,Jones,Female,80.9,45.6,45.46,91.37,81.02,2.57,IV/II
S1145,Omar,Johnson,Male,73.0,66.25,55.79,99.24,59.61,2.07,II/I
S1146,John,Johnson,Female,89.12,41.38,62.28,93.81,60.77,3.22,I/II
S1147,John,Davis,Male,65.46,60.81,91.11,80.84,63.12,3.01,IV/II
S1148,Ali,Davis,Female,82.16,81.94,87.55,79.92,78.83,2.1,IV/II
S1149,Liam,Smith,Female,94.11,45.41,66.57,56.48,77.42,2.56,III/I
S1150,John,Johnson,Male,70.11,93.3,83.47,86.12,63.69,3.82,IV/II
S1151,John,Smith,Male,53.33,94.57,74.12,80.01,84.7,2.48,III/II
S1152,Ali,Davis,Male,75.8,46.3,60.45,75.35,94.45,2.29,III/I
S1153,John,Jones,Female,67.3,99.44,83.55,84.66,52.18,2.98,I/I
S1154,Ahmed,Brown,Male,83.61,57.85,81.01,72.2,70.86,3.97,III/II
S1155,Sara,Smith,Male,97.55,45.05,77.15,76.19,79.68,2.48,IV/I
S1156,Omar,Jones,Female,74.28,40.3,77.08,69.92,79.32,3.34,IV/II
S1157,Sara,Brown,Female,73.31,64.51,80.98,85.87,50.98,3.52,I/I
S1158,Ali,Williams,Male,82.73,77.79,63.07,93.83,60.53,2.48,II/I
S1159,Maria,Smith,Male,55.17,59.93,92.14,92.04,53.09,3.46,I/II
S1160,Omar,Smith,Male,62.68,90.2,49.74,89.3,78.45,2.74,IV/II
S1161,Ali,Williams,Male,95.95,83.0,93.03,50.69,82.27,3.26,II/II
S1162,Liam,Williams,Female,83.5,61.01,60.54,95.59,57.99,3.27,I/I
S1163,Maria,Smith,Female,50.67,84.06,47.5,63.74,66.65,3.07,II/II
S1164,Sara,Williams,Male,60.23,96.43,76.0,94.4,66.49,2.18,IV/II
S1165,Ali,Johnson,Male,84.14,45.59,62.56,59.85,90.99,3.67,II/II
S1166,Liam,Brown,Male,88.22,58.37,88.93,71.98,59.73,2.64,IV/II
S1167,Omar,Brown,Female,91.99,67.8,65.85,87.47,77.42,2.37,I/II
S1168,Omar,Brown,Male,64.61,69.88,80.11,82.01,89.15,2.08,II/I
S1169,Emma,Johnson,Male,96.55,72.53,58.5,70.8,91.48,3.18,I/II
S1170,Liam,Williams,Female,77.65,58.04,52.57,83.93,83.33,3.36,III/II
S1171,Ahmed,Jones,Female,84.83,80.04,63.28,77.45,64.98,2.03,I/I
S1172,John,Williams,Male,79.84,78.71,76.41,63.79,91.15,3.02,II/II
S1173,Maria,Smith,Male,56.14,74.67,79.42,82.32,87.11,2.45,I/II
S1174,Liam,Davis,Female,98.16,46.83,74.69,60.21,85.22,3.29,IV/II
S1175,Emma,Brown,Male,56.14,68.62,99.28,84.7,53.37,2.35,I/II
S1176,John,Williams,Male,62.74,61.37,81.47,50.16,52.16,3.38,I/II
S1177,John,Jones,Female,90.68,69.46,95.89,77.44,84.77,2.77,I/I
S1178,Ali,Smith,Female,80.93,95.31,47.08,70.05,97.24,3.87,II/I
S1179,John,Johnson,Female,91.91,68.83,43.68,65.16,88.69,2.28,IV/I
S1180,Ahmed,Johnson,Male,75.79,40.84,58.66,75.79,91.57,2.68,I/II
S1181,Omar,Jones,Female,68.85,66.33,48.2,82.27,77.25,2.23,I/I
S1182,Emma,Smith,Female,96.09,89.24,71.55,98.27,65.23,3.85,II/II
S1183,John,Brown,Male,51.81,86.8,71.14,91.65,83.89,3.75,IV/II
S1184,Ali,Williams,Male,92.81,70.8,74.5,85.86,85.6,2.52,III/II
S1185,Ahmed,Smith,Female,61.54,54.99,84.71,73.95,83.77,3.32,IV/I
S1186,Sara,Johnson,Female,92.44,67.91,98.28,69.61,97.34,3.63,III/I
S1187,Omar,Jones,Male,56.96,73.82,92.7,51.63,68.36,3.11,IV/I
S1188,Omar,Jones,Male,79.01,99.99,47.1,67.95,51.98,3.06,IV/II
S1189,Emma,Williams,Female,94.41,78.65,60.31,92.42,95.42,2.48,IV/I
S1190,Omar,Jones,Female,73.68,81.66,55.35,69.2,58.02,2.19,IV/II
S1191,John,Jones,Male,87.33,69.49,50.61,73.08,84.87,3.79,I/I
S1192,Ali,Smith,Female,90.23,61.27,72.68,63.59,93.66,3.8,III/I
S1193,Omar,Brown,Male,86.82,88.78,73.2,63.71,65.51,3.27,I/II
S1194,Omar,Williams,Female,96.27,69.7,53.63,53.09,91.52,2.68,I/II
S1195,Sara,Smith,Male,72.34,99.68,82.71,80.69,66.6,2.7,IV/I
S1196,Sara,Brown,Male,58.66,67.43,83.97,72.4,89.71,3.45,I/I
S1197,Maria,Smith,Female,52.39,44.08,41.26,80.3,53.49,3.79,III/I
S1198,Ahmed,Davis,Female,62.32,80.95,63.75,77.34,82.76,3.77,I/II
S1199,John,Smith,Male,57.16,42.8,93.41,89.94,83.86,3.56,II/II
S1200,Omar,Jones,Female,77.9,55.03,71.22,87.55,74.57,3.28,II/I
S1201,Liam,Brown,Female,59.25,61.22,60.86,88.57,84.35,2.17,II/I
S1202,Omar,Williams,Female,51.95,84.37,55.22,74.96,96.16,2.32,I/II
S1203,Ali,Williams,Male,51.8,69.65,54.6,67.69,86.69,3.8,III/I
S1204,Maria,Brown,Female,91.58,41.72,45.99,96.67,98.06,3.21,III/II
S1205,Ahmed,Jones,Female,79.57,77.01,89.03,52.71,72.43,2.02,I/II
S1206,Liam,Johnson,Male,67.9,64.69,45.2,57.63,76.41,2.2,III/II
S1207,Maria,Smith,Female,94.71,95.31,57.54,70.98,63.19,3.33,III/II
S1208,Emma,Jones,Female,53.51,69.97,42.74,80.7,99.28,2.01,IV/II
S1209,Ahmed,Davis,Male,99.02,82.54,86.88,50.41,52.76,2.32,IV/II
S1210,Omar,Brown,Male,80.81,53.13,42.36,85.97,67.93,3.1,III/I
S1211,Omar,Smith,Female,59.17,85.66,58.5,77.94,64.88,3.38,III/II
S1212,Ahmed,Williams,Female,83.95,83.26,74.4,74.24,69.33,3.3,II/II
S1213,Omar,Johnson,Male,88.17,94.24,64.57,71.17,95.89,2.45,III/I
S1214,John,Davis,Male,71.47,42.03,56.94,75.97,68.4,3.42,I/II
S1215,Ahmed,Williams,Female,93.08,66.85,56.51,58.09,95.85,2.47,IV/I
S1216,Maria,Brown,Female,57.54,80.75,87.87,55.44,71.17,2.65,II/II
S1217,Ahmed,Smith,Female,63.94,45.71,98.44,64.48,92.74,3.49,I/I
S1218,Liam,Brown,Male,54.67,64.64,60.88,85.48,76.09,3.3,II/I
S1219,Omar,Smith,Female,60.54,96.53,42.35,79.41,65.57,3.7,I/II
S1220,John,Jones,Male,61.94,66.16,42.19,74.01,72.47,3.32,I/II
S1221,John,Johnson,Male,95.88,99.12,85.55,78.58,71.22,3.14,I/II
S1222,Emma,Jones,Male,53.91,43.41,73.14,77.96,63.0,2.19,II/II
S1223,Maria,Jones,Female,71.37,83.07,87.02,65.35,64.48,2.74,I/I
S1224,Sara,Brown,Female,76.62,74.86,81.85,54.87,59.32,2.53,IV/I
S1225,Sara,Johnson,Female,94.93,70.03,94.45,94.84,66.8,2.49,III/I
S1226,Ahmed,Smith,Male,99.88,98.25,93.15,80.0,81.22,3.95,IV/II
S1227,Emma,Smith,Female,87.67,47.78,87.3,84.89,69.33,2.79,I/I
S1228,Ali,Davis,Male,98.54,93.76,68.51,73.2,85.62,3.78,II/II
S1229,Ahmed,Williams,Male,89.36,81.47,58.49,87.82,99.35,3.26,I/II
S1230,Emma,Davis,Male,98.16,55.54,70.42,79.22,68.86,3.59,II/I
S1231,Maria,Davis,Male,85.36,94.1,70.12,52.69,73.13,3.01,I/II
S1232,Maria,Smith,Male,53.99,65.76,76.62,94.5,58.21,3.15,III/I
S1233,Maria,Brown,Male,70.1,88.85,51.17,65.28,69.61,2.99,III/II
S1234,Maria,Jones,Female,82.33,63.33,79.34,56.89,86.34,2.39,II/I
S1235,Maria,Jones,Male,67.54,91.06,67.4,54.4,60.87,3.44,I/II
S1236,Emma,Jones,Female,63.67,78.2,77.21,86.02,59.1,2.56,IV/I
S1237,Emma,Johnson,Male,78.87,48.46,54.38,85.2,68.82,2.05,II/I
S1238,John,Smith,Female,96.68,78.98,66.06,85.01,90.93,3.29,III/II
S1239,Liam,Brown,Female,51.75,51.48,52.61,95.79,81.18,2.35,IV/II
S1240,Sara,Johnson,Female,88.46,64.72,92.52,67.45,97.88,3.88,I/I
S1241,Omar,Williams,Female,86.14,50.22,69.28,78.06,95.23,3.91,II/II
S1242,Maria,Brown,Male,98.2,41.32,53.5,80.97,57.56,3.83,IV/II
S1243,Ali,Davis,Male,96.54,52.71,42.47,98.97,52.13,2.74,I/II
S1244,Omar,Brown,Male,88.11,72.18,80.54,65.62,69.95,2.03,III/I
S1245,Emma,Brown,Male,76.02,68.89,52.88,97.82,76.1,3.86,I/I
S1246,Ali,Jones,Female,60.21,70.09,99.37,57.44,75.78,2.86,IV/II
S1247,Ali,Brown,Female,77.26,54.86,72.02,88.2,56.71,3.93,I/II
S1248,Ali,Davis,Female,88.27,81.11,57.34,81.64,56.24,3.93,I/I
S1249,John,Davis,Male,94.78,82.26,79.46,90.84,52.34,3.71,IV/II
S1250,Emma,Smith,Female,89.49,61.48,56.51,51.43,92.54,2.59,III/I
S1251,Ali,Brown,Male,59.76,92.87,89.22,53.91,97.39,2.77,I/II
S1252,Maria,Jones,Female,79.98,78.64,58.49,53.48,55.78,3.7,III/II
S1253,Ahmed,Brown,Female,66.61,82.78,99.29,79.65,60.66,2.63,III/II
S1254,Ali,Williams,Female,50.46,56.64,76.31,80.15,54.49,2.34,III/I
S1255,John,Williams,Female,60.01,40.04,90.66,95.31,93.88,3.11,II/I
S1256,Omar,Jones,Female,55.66,91.92,44.37,73.38,97.94,3.87,III/I
S1257,Emma,Smith,Male,92.14,89.35,60.9,53.4,63.09,3.39,II/I
S1258,Liam,Smith,Female,62.93,47.39,84.25,60.48,65.18,3.14,I/II
S1259,John,Davis,Male,64.23,62.45,79.3,50.4,68.13,2.19,IV/II
S1260,Ali,Davis,Male,98.0,79.68,51.65,88.84,75.12,3.23,II/I
S1261,Emma,Johnson,Male,68.95,79.13,61.37,90.78,84.12,3.98,I/II
S1262,Ahmed,Jones,Male,50.48,91.62,55.81,99.9,75.22,2.28,I/II
S1263,Ali,Brown,Male,64.19,48.42,76.8,70.61,97.55,3.04,IV/I
S1264,John,Jones,Male,55.96,65.8,60.67,50.96,54.99,3.75,II/II
S1265,Sara,Johnson,Male,55.14,45.83,58.54,61.74,89.93,3.48,I/II
S1266,Maria,Davis,Male,53.87,63.38,52.44,79.39,66.72,3.39,II/I
S1267,Liam,Jones,Female,79.66,40.91,64.54,98.1,68.88,3.4,II/II
S1268,Omar,Jones,Female,59.47,93.9,51.73,55.18,85.44,2.72,II/II
S1269,John,Davis,Male,68.06,71.62,97.75,56.08,96.47,2.59,I/II
S1270,Emma,Johnson,Male,93.1,90.99,49.27,85.09,85.81,3.62,III/I
S1271,Liam,Davis,Male,71.22,43.59,94.8,83.36,88.79,3.62,III/I
S1272,Liam,Smith,Female,95.78,53.65,65.71,62.53,87.54,3.73,III/II
S1273,Liam,Brown,Female,74.9,55.56,62.67,90.66,66.05,3.83,II/II
S1274,Ali,Davis,Male,69.94,63.2,53.88,56.44,87.85,3.02,I/II
S1275,Maria,Johnson,Male,87.52,88.17,78.15,96.29,89.23,3.0,IV/I
S1276,Ali,Williams,Female,53.66,63.19,81.13,60.05,76.67,3.6,III/I
S1277,Emma,Smith,Female,54.47,52.28,68.05,54.07,76.84,3.3,IV/I
S1278,Ali,Williams,Male,82.6,43.9,43.34,66.98,87.99,3.4,I/II
S1279,Sara,Davis,Male,74.35,44.77,95.11,59.39,90.85,3.59,I/II
S1280,Maria,Smith,Male,89.52,85.6,98.82,76.35,66.86,3.78,IV/II
S1281,Maria,Brown,Male,95.81,66.69,65.86,84.34,90.08,2.68,II/II
S1282,Emma,Davis,Female,69.42,83.57,76.82,74.55,90.71,2.75,IV/II
S1283,Omar,Brown,Female,79.82,80.94,67.02,83.03,61.71,2.19,IV/I
S1284,Sara,Jones,Male,75.03,48.12,59.31,68.25,85.85,3.16,IV/II
S1285,John,Williams,Male,99.08,48.57,44.64,51.4,59.33,2.07,III/II
S1286,Ali,Smith,Male,91.55,85.32,67.36,98.7,54.65,2.93,II/II
S1287,Ahmed,Brown,Female,95.59,83.28,89.1,90.97,78.73,3.09,I/I
S1288,Ali,Johnson,Male,62.72,62.68,41.02,53.67,95.43,2.57,IV/II
S1289,Liam,Brown,Male,88.63,44.65,74.93,72.46,51.77,3.18,IV/I
S1290,Ali,Johnson,Male,63.27,40.73,92.85,81.75,91.33,2.06,III/I
S1291,John,Davis,Female,60.44,57.29,53.05,59.53,75.32,2.07,III/I
S1292,Ali,Smith,Male,97.21,40.55,51.0,78.9,93.04,3.65,III/I
S1293,Sara,Brown,Female,50.97,53.8,86.34,76.68,92.17,2.72,II/I
S1294,Sara,Brown,Male,98.27,65.17,55.31,60.41,93.76,2.25,I/II
S1295,Maria,Smith,Male,57.46,47.28,51.52,57.06,88.44,3.04,II/II
S1296,Emma,Brown,Male,90.97,46.26,62.68,87.95,92.15,3.54,III/I
S1297,Omar,Johnson,Female,63.8,93.79,63.55,66.13,58.8,2.43,I/I
S1298,Ahmed,Brown,Male,67.54,75.13,92.45,62.2,65.19,3.25,III/I
S1299,Liam,Williams,Male,60.84,96.07,77.11,86.89,62.12,2.17,III/II
S1300,Ali,Davis,Female,79.28,60.75,64.36,86.8,87.12,2.1,I/II
S1301,Ali,Jones,Female,67.4,80.63,72.06,63.82,57.68,3.06,IV/I
S1302,John,Johnson,Female,82.87,52.28,97.24,93.63,59.11,3.08,I/II
S1303,Emma,Williams,Male,50.78,77.1,46.79,84.41,93.95,3.27,IV/II
S1304,Sara,Davis,Female,53.22,47.78,52.46,67.29,85.29,3.45,IV/I
S1305,Ahmed,Smith,Male,54.98,40.12,97.75,71.37,93.77,3.95,IV/I
S1306,Maria,Johnson,Female,70.95,95.89,97.44,86.34,56.97,3.03,IV/II
S1307,Sara,Jones,Female,90.74,73.29,50.63,60.58,69.95,2.65,II/II
S1308,Liam,Davis,Female,94.41,95.62,48.71,73.44,64.16,3.59,IV/II
S1309,Emma,Jones,Male,62.24,60.03,65.27,82.68,50.48,2.54,II/I
S1310,Liam,Smith,Male,78.72,59.67,42.98,76.97,64.23,2.88,IV/I
S1311,Omar,Smith,Male,88.42,64.04,79.29,80.42,68.98,2.16,IV/I
S1312,Maria,Johnson,Male,64.44,82.36,44.65,77.31,54.61,2.05,IV/II
S1313,Omar,Brown,Male,70.45,73.95,43.48,59.96,78.32,3.93,II/II
S1314,John,Smith,Male,76.2,95.52,69.11,70.51,69.16,3.67,III/I
S1315,Liam,Davis,Male,56.74,41.53,97.47,76.6,52.32,3.39,III/II
S1316,John,Brown,Male,51.3,82.49,65.61,89.0,85.2,2.82,I/I
S1317,Ali,Williams,Male,57.64,59.82,61.39,82.7,86.46,2.35,II/II
S1318,Omar,Jones,Female,81.34,50.81,99.88,71.33,91.72,2.31,II/I
